,join_fid,awning,cross_stre,on_street,lat,lon,type,name,address,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID
379858,2259,NO,Fremont Ave N,N 85th St,47.6906429507,-122.350244484,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379876,677,NO,27th Ave NW,NW 85th St,47.690636385,-122.39084702,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
379905,2268,NO,Fremont Ave N,N 85th St,47.6905039029,-122.349592794,Bus Stop,,,120.0,115.0,Greenwood,NO BROADER TERM,1.0
379964,1295,NO,NW 93rd St,28th Ave NW,47.6965700466,-122.392988593,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
379965,1296,NO,NW Golden Dr,Triton Dr NW,47.6983239262,-122.393660126,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
379966,1297,NO,27th Ave NW,Triton Dr NW,47.7000482525,-122.392514819,Bus Stop,,,116.0,109.0,North Beach/Blue Ridge,NO BROADER TERM,1.0
380057,1778,NO,Woodlawn Ave NE,2nd Ave NE,47.6777891318,-122.327188804,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380058,1867,YES,Woodlawn Ave NE,NE Ravenna Blvd,47.6787714067,-122.325199249,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380059,2633,NO,1st Ave NE,Woodlawn Ave NE,47.6775897907,-122.328672727,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380060,2634,NO,5th Ave NE,Woodlawn Ave NE,47.6781737312,-122.325765546,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380061,2635,YES,NE 71st St,Woodlawn Ave NE,47.6795708961,-122.324712834,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380062,2972,NO,NE 70th St,NE Ravenna Blvd,47.6789229015,-122.32459709,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380063,3021,NO,5th Ave NE,Woodlawn Ave NE,47.6783929396,-122.325166756,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380064,3022,NO,Sunnyside Ave N,Woodlawn Ave NE,47.6774712148,-122.329119006,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380065,3058,NO,Woodlawn Ave NE,NE Ravenna Blvd,47.6784587822,-122.324828365,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380066,3275,,,,47.680378,-122.328707,Community Centers,Green Lake Community Center,7201 E Green Lake Dr. N,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380084,3312,,,,47.676302,-122.328498,Elementary Schools,Green Lake,2400 N 65th,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380146,720,NO,NW 85th St,Loyal Way NW,47.6903327673,-122.397902261,Bus Stop,,,121.0,116.0,Sunset Hill,BALLARD,7.0
380149,1344,NO,Loyal Way NW,32nd Ave NW,47.6900195027,-122.398186599,Bus Stop,,,121.0,116.0,Sunset Hill,BALLARD,7.0
380169,2913,NO,NW 85th St,32nd Ave NW,47.6901288831,-122.398389942,Bus Stop,,,121.0,116.0,Sunset Hill,BALLARD,7.0
380170,2632,NO,N 63rd St,Woodlawn Ave N,47.6745674405,-122.333136331,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
380171,3051,NO,N 63rd St,Woodlawn Ave N,47.6743483686,-122.333143635,Bus Stop,,,36.0,123.0,Green Lake,NO BROADER TERM,6.0
